Table 1
Player,Nation,Pos,Squad,Min,Gls▼,Ast,Gls,Ast,xG,xA,xG,xA
Bernardo\17370b95,br BRA,DFMF,at RB Salzburg,25,0,1,0.00,3.60,0.0,0.0,0.17,0.00
Paulo Bernardo\4142f132,pt POR,MF,pt Benfica,29,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Veljko Birmančević\636247ca,rs SRB,FWMF,se Malmö,352,0,1,0.00,0.26,0.1,0.3,0.04,0.07
Blanco\506daeac,es ESP,MF,es Real Madrid,7,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Valerii Bondar\7713c72a,ua UKR,DF,ua Shakhtar,90,0,0,0.00,0.00,0.3,0.0,0.31,0.02
Artem Bondarenko\415568b5,ua UKR,MF,ua Shakhtar,84,0,0,0.00,0.00,0.2,0.1,0.17,0.14
Solomon Bonnah\dd7b6eb8,nl NED,DF,de RB Leipzig,11,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Leonardo Bonucci\52ec54d0,it ITA,DF,it Juventus,579,0,0,0.00,0.00,0.0,0.1,0.00,0.02
Sebastiaan Bornauw\01834aa0,be BEL,DF,de Wolfsburg,205,0,0,0.00,0.00,0.1,0.0,0.04,0.00
Sven Botman\ccce7025,nl NED,DF,fr Lille,360,0,0,0.00,0.00,0.2,0.1,0.05,0.01
Yassine Bounou\f6798fc3,ma MAR,GK,es Sevilla,540,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Denys Boyko\1e064bfb,ua UKR,GK,ua Dynamo Kyiv,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Can Bozdogan\b797f558,de GER,MF,tr Beşiktaş,219,0,0,0.00,0.00,0.0,0.5,0.02,0.21
Conor Bradley\bbd67769,nir NIR,FW,eng Liverpool,1,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Daniel Bragança\0c152537,pt POR,MFFW,pt Sporting CP,133,0,0,0.00,0.00,0.5,0.0,0.31,0.02
Julian Brandt\a167537f,de GER,MFFW,de Dortmund,395,0,0,0.00,0.00,0.3,0.7,0.06,0.16
Brian Brobbey\4c184730,nl NED,FWMF,de RB Leipzig,108,0,0,0.00,0.00,0.0,0.0,0.02,0.03
John Brooks\e27da244,us USA,DF,de Wolfsburg,329,0,0,0.00,0.00,0.0,0.0,0.00,0.01
Franz Brorsson\08d37c53,se SWE,DF,se Malmö,446,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Nicolas Bürgy\a4851d9e,ch SUI,DF,ch Young Boys,180,0,0,0.00,0.00,0.3,0.0,0.15,0.00
Heorhiy Bushchan\eb2b33aa,ua UKR,GK,ua Dynamo Kyiv,450,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Sergio Busquets\5ab0ea87,es ESP,MF,es Barcelona,485,0,0,0.00,0.00,0.0,0.3,0.01,0.05
Vitaliy Buyalskyi\b8814868,ua UKR,MFFW,ua Dynamo Kyiv,434,0,0,0.00,0.00,0.5,1.2,0.10,0.24
Jovane Cabral\e34e086c,cv CPV,FWMF,pt Sporting CP,81,0,0,0.00,0.00,0.0,0.4,0.00,0.45
Davide Calabria\2146785a,it ITA,DF,it Milan,315,0,0,0.00,0.00,0.0,0.0,0.01,0.00
Hakan Çalhanoğlu\cd0fa27b,tr TUR,MF,it Inter,334,0,0,0.00,0.00,0.1,1.5,0.03,0.40
Mohamed Camara\489e80e3,ml MLI,MF,at RB Salzburg,603,0,0,0.00,0.00,0.1,0.1,0.01,0.01
Eduardo Camavinga\7b9c2d84,fr FRA,MFDF,es Real Madrid,134,0,1,0.00,0.67,0.0,0.2,0.00,0.16
Emre Can\a65ce836,de GER,DF,de Dortmund,73,0,0,0.00,0.00,0.0,0.1,0.00,0.10
Nicolás Capaldo\6885cc44,ar ARG,MF,at RB Salzburg,196,0,0,0.00,0.00,0.0,0.0,0.00,0.01
Fábio Cardoso\4a5839fa,pt POR,DF,pt Porto,156,0,0,0.00,0.00,0.1,0.1,0.05,0.05
Diego Carlos\b4a014b1,br BRA,DF,es Sevilla,539,0,0,0.00,0.00,0.2,0.0,0.03,0.00
Yannick Carrasco\de39485a,be BEL,DFMF,es Atlético Madrid,449,0,0,0.00,0.00,0.6,0.2,0.11,0.04
Dani Carvajal\4958bfb2,es ESP,DF,es Real Madrid,380,0,1,0.00,0.24,0.3,0.5,0.06,0.12
Casemiro\4d224fe8,br BRA,MF,es Real Madrid,578,0,0,0.00,0.00,0.4,0.3,0.07,0.05
Frank Castañeda\0a396655,co COL,FW,md Sheriff Tiraspol,355,0,0,0.00,0.00,0.2,0.2,0.05,0.06
Koen Casteels\db401046,be BEL,GK,de Wolfsburg,450,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Edinson Cavani\527f063d,uy URU,FWMF,eng Manchester Utd,63,0,0,0.00,0.00,0.2,0.0,0.35,0.00
Dumitru Celeadnic\2edbd8d5,md MDA,GK,md Sheriff Tiraspol,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Zeki Çelik\31a62dc7,tr TUR,DF,fr Lille,532,0,1,0.00,0.17,0.1,0.1,0.02,0.01
Leonardo César Jardim\f5dfc256,br BRA,GK,fr Lille,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Giorgio Chiellini\e85fb9b8,it ITA,DF,it Juventus,8,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Ben Chilwell\d2424d1b,eng ENG,DF,eng Chelsea,187,0,0,0.00,0.00,0.6,0.2,0.28,0.11
Dmitri Chistyakov\bec8a4ba,ru RUS,DF,ru Zenit,442,0,0,0.00,0.00,0.4,0.0,0.08,0.00
Anders Christiansen\770ebf00,dk DEN,MF,se Malmö,327,0,0,0.00,0.00,0.6,0.1,0.17,0.01
Serafim Cojocari\48df060a,md MDA,FW,md Sheriff Tiraspol,1,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Maxim Cojocaru\be305255,md MDA,FWMF,md Sheriff Tiraspol,17,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Antonio Čolak\bfde3de5,hr CRO,FW,se Malmö,498,0,0,0.00,0.00,0.6,0.1,0.11,0.02
Francisco Conceição\5ef3d210,pt POR,MFFW,pt Porto,39,0,0,0.00,0.00,0.0,0.0,0.08,0.00
Francis Coquelin\a6951bf8,fr FRA,MF,es Villarreal,167,0,0,0.00,0.00,0.2,0.5,0.11,0.25
Jesús Corona\fb938d24,mx MEX,DFFW,pt Porto,214,0,0,0.00,0.00,0.0,0.1,0.00,0.04
Joaquín Correa\45b9b619,ar ARG,FW,it Inter,95,0,0,0.00,0.00,0.0,0.0,0.02,0.00
Bruno Xavier Almeida Costa\7b4c1f6e,pt POR,MF,pt Porto,12,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Diogo Costa\93fffbcf,pt POR,GK,pt Porto,540,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Thibaut Courtois\1840e36d,be BEL,GK,es Real Madrid,630,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Philippe Coutinho\0ef89a37,br BRA,FWMF,es Barcelona,111,0,0,0.00,0.00,0.1,0.0,0.10,0.02
Juan Cuadrado\0ab1f153,co COL,DFMF,it Juventus,382,0,0,0.00,0.00,0.1,0.6,0.03,0.15
Matheus Cunha\dc62b55d,br BRA,FW,es Atlético Madrid,106,0,0,0.00,0.00,0.6,0.0,0.52,0.00
Danilo D'Ambrosio\44eb9093,it ITA,DF,it Inter,102,0,0,0.00,0.00,0.0,0.0,0.00,0.02
Cosimo Marco Da Graca\32f76907,it ITA,FW,it Juventus,1,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Johan Dahlin\a04e2dd2,se SWE,GK,se Malmö,315,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Mahmoud Dahoud\db4ed67b,de GER,MF,de Dortmund,212,0,2,0.00,0.85,0.3,0.9,0.11,0.39
Diogo Dalot\d9565625,pt POR,DF,eng Manchester Utd,144,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Danilo\94b2001f,br BRA,DF,it Juventus,360,0,1,0.00,0.25,0.0,0.2,0.00,0.04
Mohammed Daramy\06a1d642,dk DEN,FW,nl Ajax,53,0,0,0.00,0.00,0.5,0.0,0.84,0.00
Matteo Darmian\96e0490d,it ITA,DF,it Inter,181,0,0,0.00,0.00,0.1,0.0,0.04,0.00
Alphonso Davies\d781d855,ca CAN,DF,de Bayern Munich,381,0,2,0.00,0.47,0.1,0.5,0.02,0.11
Kevin De Bruyne\e46012d4,be BEL,MF,eng Manchester City,415,0,2,0.00,0.43,1.0,1.6,0.21,0.34
Charles De Ketelaere\2ef7c612,be BEL,FW,be Club Brugge,496,0,1,0.00,0.18,0.9,1.6,0.17,0.28
Mattia De Sciglio\ae4e2852,it ITA,DF,it Juventus,196,0,1,0.00,0.46,0.0,0.6,0.00,0.28
Koni De Winter\f4797849,be BEL,DF,it Juventus,81,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Thomas Delaney\fe641c1a,dk DEN,MF,es Sevilla,200,0,0,0.00,0.00,0.0,0.1,0.01,0.02
Liam Delap\dd897ee7,eng ENG,FW,eng Manchester City,6,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Ousmane Dembélé\b19db005,fr FRA,FWDF,es Barcelona,123,0,0,0.00,0.00,0.4,0.1,0.30,0.09
Yusuf Demir\fa265f6d,at AUT,DFFW,es Barcelona,102,0,0,0.00,0.00,0.1,0.0,0.05,0.02
Dentinho\85686f86,br BRA,FW,ua Shakhtar,5,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Memphis Depay\8f696594,nl NED,FW,es Barcelona,524,0,0,0.00,0.00,0.5,1.4,0.08,0.24
Sergiño Dest\5976f83e,us USA,DFFW,es Barcelona,230,0,0,0.00,0.00,0.6,0.0,0.24,0.01
Ersin Destanoğlu\52b3c895,tr TUR,GK,tr Beşiktaş,450,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Ángel Di María\19cda00b,ar ARG,FW,fr Paris S-G,249,0,1,0.00,0.36,1.0,1.3,0.35,0.49
Boulaye Dia\244bc2c8,sn SEN,FW,es Villarreal,162,0,0,0.00,0.00,0.9,0.1,0.49,0.05
Abdou Diallo\fc62f087,sn SEN,DF,fr Paris S-G,164,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Amad Diallo\9dc96f10,ci CIV,MF,eng Manchester Utd,67,0,0,0.00,0.00,0.1,0.0,0.19,0.00
Rúben Dias\31c69ef1,pt POR,DF,eng Manchester City,454,0,0,0.00,0.00,0.4,0.1,0.09,0.02
Ismael Diawara\a9107589,ml MLI,GK,se Malmö,225,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Luis Díaz\4a1a9578,co COL,FW,eng Liverpool,32,0,0,0.00,0.00,0.2,0.0,0.47,0.00
Virgil van Dijk\e06683ca,nl NED,DF,eng Liverpool,360,0,1,0.00,0.25,0.1,0.0,0.01,0.00
Federico Dimarco\970b8574,it ITA,DF,it Inter,282,0,0,0.00,0.00,0.3,1.5,0.10,0.47
Junior Dina Ebimbe\95bb6ddc,fr FRA,MF,fr Paris S-G,7,0,0,0.00,0.00,0.1,0.0,1.58,0.00
Tiago Djaló\b2336681,pt POR,DF,fr Lille,443,0,0,0.00,0.00,0.2,0.0,0.04,0.01
Berat Djimsiti\6eee05f1,al ALB,DF,it Atalanta,260,0,0,0.00,0.00,0.3,0.0,0.10,0.02
Dodô\b5f7d10b,br BRA,DF,ua Shakhtar,540,0,0,0.00,0.00,0.9,0.6,0.14,0.10
Gianluigi Donnarumma\08f5afaa,it ITA,GK,fr Paris S-G,360,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Bas Dost\dc90cfbe,nl NED,FW,be Club Brugge,70,0,0,0.00,0.00,0.3,0.1,0.39,0.11
Julian Draxler\1a992676,de GER,FWMF,fr Paris S-G,140,0,0,0.00,0.00,0.4,0.1,0.25,0.08
Gustavo Dulanto\e426b012,pe PER,DF,md Sheriff Tiraspol,540,0,0,0.00,0.00,0.4,0.0,0.07,0.01
Denzel Dumfries\481c9ece,nl NED,DF,it Inter,392,0,1,0.00,0.23,0.5,0.5,0.11,0.11
Artem Dzyuba\448a3608,ru RUS,FW,ru Zenit,278,0,1,0.00,0.32,1.8,0.5,0.60,0.18
Ederson\3bb7b8b4,br BRA,GK,eng Manchester City,540,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Noah Eile\e1574c2d,se SWE,DF,se Malmö,4,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Harvey Elliott\c8387671,eng ENG,MF,eng Liverpool,58,0,0,0.00,0.00,0.0,0.1,0.00,0.09
Youssef En-Nesyri\04e17fd5,ma MAR,FWMF,es Sevilla,83,0,0,0.00,0.00,0.6,0.0,0.63,0.00
Aleksandr Erokhin\1c78737d,ru RUS,MF,ru Zenit,109,0,0,0.00,0.00,0.2,0.0,0.15,0.00
Ricardo Esgaio\12dcbdcc,pt POR,DF,pt Sporting CP,373,0,2,0.00,0.48,0.1,0.3,0.02,0.06
Dario Essugo\1e4319ac,pt POR,MF,pt Sporting CP,10,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Gonçalo Esteves\ea3b4578,pt POR,DF,pt Sporting CP,72,0,0,0.00,0.00,0.0,0.2,0.04,0.20
Pervis Estupiñán\d38fdf53,ec ECU,DF,es Villarreal,226,0,0,0.00,0.00,0.0,0.1,0.01,0.04
Evanilson\6f3cc2fe,br BRA,FW,pt Porto,310,0,0,0.00,0.00,0.5,0.1,0.15,0.03
Fabinho\7f3b388c,br BRA,MF,eng Liverpool,372,0,0,0.00,0.00,0.1,0.2,0.03,0.04
Guillaume Faivre\11c7fa75,ch SUI,GK,ch Young Boys,270,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Christian Fassnacht\0aeeed3f,ch SUI,MFFW,ch Young Boys,269,0,0,0.00,0.00,0.9,0.1,0.30,0.04
Zouhair Feddal\89151b16,ma MAR,DF,pt Sporting CP,449,0,0,0.00,0.00,0.1,0.0,0.02,0.01
Felipe\51a3c4c8,br BRA,DFMF,es Atlético Madrid,289,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Bruno Fernandes\507c7bdf,pt POR,MF,eng Manchester Utd,452,0,7,0.00,1.39,0.7,3.2,0.13,0.63
Fernandinho\101da2b5,br BRA,MF,eng Manchester City,160,0,1,0.00,0.56,0.1,0.5,0.06,0.29
Fernando\fe29c96e,br BRA,DF,md Sheriff Tiraspol,540,0,0,0.00,0.00,0.1,0.1,0.01,0.02
Fernando\41f32541,br BRA,MFDF,es Sevilla,540,0,0,0.00,0.00,0.0,0.1,0.01,0.02
Alessandro Florenzi\e288d4b3,it ITA,DFFW,it Milan,92,0,0,0.00,0.00,0.1,0.1,0.06,0.12
José Fonte\90f87966,pt POR,DF,fr Lille,630,0,0,0.00,0.00,0.2,0.1,0.03,0.01
Juan Foyth\6c7762c3,ar ARG,DF,es Villarreal,540,0,0,0.00,0.00,0.2,0.0,0.03,0.00
Lassina Franck Traoré\f620b04f,bf BFA,FW,ua Shakhtar,100,0,0,0.00,0.00,0.1,0.0,0.10,0.03
Fred\b853e0ad,br BRA,MF,eng Manchester Utd,357,0,0,0.00,0.00,0.5,0.0,0.13,0.01
Roberto Gagliardini\ce30bfc8,it ITA,MF,it Inter,55,0,0,0.00,0.00,0.0,0.1,0.00,0.12
Eric García\2bed3eab,es ESP,DF,es Barcelona,246,0,0,0.00,0.00,0.1,0.0,0.02,0.01
Ulisses Garcia\c952f633,ch SUI,DF,ch Young Boys,434,0,0,0.00,0.00,0.1,0.5,0.02,0.10
Mario Gaspar\fb5d47b3,es ESP,DF,es Villarreal,93,0,0,0.00,0.00,0.0,0.3,0.00,0.32
David de Gea\7ba6d84e,es ESP,GK,eng Manchester Utd,540,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Yannick Gerhardt\62ab9184,de GER,FW,de Wolfsburg,191,0,1,0.00,0.47,0.0,0.9,0.01,0.41
Daniel Ginczek\e5f63987,de GER,MF,de Wolfsburg,3,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Olivier Giroud\16ceb862,fr FRA,FW,it Milan,260,0,0,0.00,0.00,0.3,0.1,0.12,0.02
Joe Gomez\7a11550b,eng ENG,DF,eng Liverpool,148,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Moi Gómez\5a626448,es ESP,MFFW,es Villarreal,224,0,1,0.00,0.40,0.2,0.5,0.08,0.21
Papu Gómez\6e4df551,ar ARG,FWMF,es Sevilla,320,0,0,0.00,0.00,0.3,0.3,0.07,0.08
Diogo Gonçalves\f4b52308,pt POR,DFFW,pt Benfica,79,0,0,0.00,0.00,0.1,0.2,0.10,0.18
Nicolás González\2c56a792,es ESP,MF,es Barcelona,248,0,0,0.00,0.00,0.2,0.8,0.07,0.29
Leon Goretzka\cc86b9a3,de GER,MF,de Bayern Munich,348,0,0,0.00,0.00,0.6,0.5,0.15,0.14
Ryan Gravenberch\b8e740fb,nl NED,MF,nl Ajax,612,0,1,0.00,0.15,0.6,0.7,0.09,0.11
Ivo Grbić\3f034750,hr CRO,GK,fr Lille,540,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Álex Grimaldo\b1f4086c,es ESP,DF,pt Benfica,590,0,1,0.00,0.15,0.2,0.6,0.02,0.10
Marko Grujić\8b8e759d,rs SRB,MF,pt Porto,320,0,1,0.00,0.28,0.4,0.3,0.13,0.10
Gabriel Gudmundsson\d5d22a58,se SWE,DFMF,fr Lille,165,0,0,0.00,0.00,0.0,0.0,0.01,0.00
Raphaël Guerreiro\048a1cbc,pt POR,DF,de Dortmund,182,0,0,0.00,0.00,0.2,0.1,0.11,0.05
Josuha Guilavogui\e6c43eec,fr FRA,MFDF,de Wolfsburg,427,0,0,0.00,0.00,0.0,0.0,0.01,0.00
Daouda Guindo\e382905a,ml MLI,DF,at RB Salzburg,5,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Péter Gulácsi\bcb2ccd8,hu HUN,GK,de RB Leipzig,450,0,0,0.00,0.00,0.0,0.0,0.00,0.00
İlkay Gündoğan\819b3158,de GER,MF,eng Manchester City,367,0,2,0.00,0.49,0.6,1.1,0.14,0.28
Mert Günok\b583aef5,tr TUR,GK,tr Beşiktaş,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Miguel Gutiérrez\7e98cff1,es ESP,DF,es Real Madrid,65,0,0,0.00,0.00,0.0,0.1,0.04,0.11
Joško Gvardiol\5ad50391,hr CRO,DF,de RB Leipzig,335,0,0,0.00,0.00,0.3,0.1,0.07,0.02
Munir El Haddadi\8696bc90,ma MAR,FWMF,es Sevilla,205,0,0,0.00,0.00,0.7,0.1,0.33,0.04
Amadou Haidara\92432bc6,ml MLI,MF,de RB Leipzig,182,0,0,0.00,0.00,0.1,0.5,0.03,0.26
Achraf Hakimi\e42d61c7,ma MAR,DF,fr Paris S-G,630,0,0,0.00,0.00,0.0,0.5,0.00,0.07
Samir Handanović\74419746,si SVN,GK,it Inter,630,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Hans Hateboer\3b333ac3,nl NED,DF,it Atalanta,90,0,0,0.00,0.00,0.0,0.0,0.00,0.02
Eden Hazard\a39bb753,be BEL,FW,es Real Madrid,85,0,0,0.00,0.00,0.2,0.1,0.25,0.15
Thorgan Hazard\50871bcc,be BEL,FW,de Dortmund,141,0,0,0.00,0.00,0.2,0.6,0.12,0.37
Tom Heaton\a6de6361,eng ENG,GK,eng Manchester Utd,23,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Dean Henderson\e5a76dfe,eng ENG,GK,eng Manchester Utd,67,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Jack Hendry\ffed43e3,sct SCO,DF,be Club Brugge,540,0,0,0.00,0.00,0.3,0.1,0.04,0.01
Benjamin Henrichs\0a89e877,de GER,DF,de RB Leipzig,55,0,0,0.00,0.00,0.1,0.0,0.13,0.00
Mario Hermoso\555f3a0b,es ESP,DF,es Atlético Madrid,422,0,0,0.00,0.00,0.1,0.0,0.01,0.00
Lucas Hernández\c3ee18ef,fr FRA,DF,de Bayern Munich,335,0,0,0.00,0.00,0.1,0.0,0.04,0.00
Theo Hernández\d4c9725f,fr FRA,DF,it Milan,450,0,0,0.00,0.00,0.6,0.4,0.11,0.08
Héctor Herrera\a8542814,mx MEX,MF,es Atlético Madrid,138,0,0,0.00,0.00,0.1,0.0,0.07,0.02
Mats Hummels\05d548d8,de GER,DFFW,de Dortmund,355,0,0,0.00,0.00,0.1,0.2,0.02,0.05
Atiba Hutchinson\f1b55719,ca CAN,MF,tr Beşiktaş,156,0,0,0.00,0.00,0.1,0.1,0.05,0.04
Vicente Iborra\ad1ffcfd,es ESP,MF,es Villarreal,11,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Zlatan Ibrahimović\4cde5509,se SWE,FW,it Milan,163,0,0,0.00,0.00,0.1,0.0,0.06,0.00
Mauro Icardi\43b78598,ar ARG,FW,fr Paris S-G,49,0,0,0.00,0.00,0.3,0.1,0.55,0.23
Gonçalo Inácio\33651873,pt POR,DF,pt Sporting CP,470,0,1,0.00,0.19,0.2,0.0,0.04,0.00
Jo Inge Berget\f512a009,no NOR,DF,se Malmö,437,0,0,0.00,0.00,0.0,0.4,0.00,0.08
Bonke Innocent\546bb36e,ng NGA,MF,se Malmö,493,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Zidane Iqbal\6fa3c28e,iq IRQ,MF,eng Manchester Utd,2,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Ismaily\cf182add,br BRA,DF,ua Shakhtar,354,0,0,0.00,0.00,0.1,0.2,0.03,0.05
José Izquierdo\ca2bc3df,co COL,DF,be Club Brugge,9,0,0,0.00,0.00,0.0,0.0,0.17,0.00
Curtis Jones\4fb9c88f,eng ENG,MFFW,eng Liverpool,110,0,2,0.00,1.64,0.2,0.5,0.14,0.44
Frenkie de Jong\1bacc518,nl NED,MF,es Barcelona,522,0,0,0.00,0.00,0.3,1.4,0.06,0.24
Luuk de Jong\abb3bb95,nl NED,FW,es Barcelona,177,0,0,0.00,0.00,1.3,0.0,0.67,0.00
Luka Jović\4d8cd038,rs SRB,FW,es Real Madrid,114,0,0,0.00,0.00,0.8,0.1,0.66,0.11
Keston Julien\76c98b58,tt TRI,DFFW,md Sheriff Tiraspol,55,0,0,0.00,0.00,0.0,0.0,0.02,0.00
Felix Kalu Nmecha\091c86e2,eng ENG,MFFW,de Wolfsburg,38,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Pierre Kalulu\85f7d1be,fr FRA,DF,it Milan,215,0,0,0.00,0.00,0.1,0.0,0.06,0.01
Kevin Kampl\b825a650,si SVN,MF,de RB Leipzig,270,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Wilfried Kanga\b4c816a9,fr FRA,FW,ch Young Boys,79,0,0,0.00,0.00,0.3,0.0,0.29,0.00
N'Golo Kanté\b9fbae28,fr FRA,MF,eng Chelsea,190,0,1,0.00,0.47,0.1,0.8,0.03,0.39
Kenan Karaman\8f0f2230,tr TUR,MFFW,tr Beşiktaş,266,0,0,0.00,0.00,0.1,0.1,0.05,0.05
Oleksandr Karavayev\1bd5735a,ua UKR,DFMF,ua Dynamo Kyiv,159,0,0,0.00,0.00,0.1,0.1,0.04,0.04
Vyacheslav Karavayev\b0b902c8,ru RUS,DF,ru Zenit,297,0,0,0.00,0.00,0.2,0.1,0.05,0.02
Tomasz Kędziora\dc52c72f,pl POL,DF,ua Dynamo Kyiv,363,0,0,0.00,0.00,0.0,0.1,0.00,0.02
Thilo Kehrer\51dbeea9,de GER,DF,fr Paris S-G,67,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Mikhail Kerzhakov\2fabebc0,ru RUS,GK,ru Zenit,180,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Franck Kessié\05e19d6a,ci CIV,MFFW,it Milan,321,0,1,0.00,0.28,0.3,0.3,0.07,0.10
Joshua Kimmich\49296448,de GER,MF,de Bayern Munich,431,0,0,0.00,0.00,0.4,0.7,0.09,0.14
Presnel Kimpembe\aef6e670,fr FRA,DF,fr Paris S-G,540,0,0,0.00,0.00,0.0,0.1,0.00,0.01
Simon Kjær\8b8a56ce,dk DEN,DF,it Milan,270,0,0,0.00,0.00,0.2,0.0,0.07,0.00
Maurits Kjærgaard\2b0852db,dk DEN,MFFW,at RB Salzburg,12,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Lukas Klostermann\ca8033cb,de GER,DF,de RB Leipzig,355,0,0,0.00,0.00,0.0,0.0,0.00,0.01
Ansgar Knauff\19a967ab,de GER,FWMF,de Dortmund,23,0,0,0.00,0.00,0.2,0.0,0.74,0.00
Gregor Kobel\cd59b9df,ch SUI,GK,de Dortmund,540,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Philipp Köhn\ff74841d,ch SUI,GK,at RB Salzburg,630,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Koke\55126f3b,es ESP,MF,es Atlético Madrid,453,0,1,0.00,0.20,0.3,0.1,0.06,0.02
Aleksandar Kolarov\eda40760,rs SRB,DF,it Inter,6,0,0,0.00,0.00,0.0,0.1,0.00,1.05
Dimitris Kolovos\bc8df459,gr GRE,MF,md Sheriff Tiraspol,402,0,0,0.00,0.00,0.1,0.2,0.02,0.05
Ibrahima Konaté\5ed9b537,fr FRA,DF,eng Liverpool,270,0,0,0.00,0.00,0.1,0.0,0.03,0.00
Geoffrey Kondogbia\cce181df,cf CTA,MFDF,es Atlético Madrid,388,0,0,0.00,0.00,0.1,0.0,0.02,0.01
Teun Koopmeiners\a26fb8aa,nl NED,MF,it Atalanta,212,0,1,0.00,0.42,0.1,0.3,0.05,0.13
Viktor Korniienko\f38cc3b3,ua UKR,DF,ua Shakhtar,83,0,0,0.00,0.00,0.0,0.0,0.03,0.05
Nianzou Kouassi\5853ac44,fr FRA,DF,de Bayern Munich,188,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Jules Koundé\4d1666ff,fr FRA,DF,es Sevilla,450,0,0,0.00,0.00,0.4,0.0,0.07,0.01
Mateo Kovačić\79c0821a,hr CRO,MF,eng Chelsea,230,0,0,0.00,0.00,0.1,0.2,0.05,0.06
Kirill Kravtsov\a2c51161,ru RUS,MFDF,ru Zenit,16,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Stanislav Kritsyuk\b8798a46,ru RUS,GK,ru Zenit,360,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Danil Krugovoy\a802405e,ru RUS,DFFW,ru Zenit,73,0,0,0.00,0.00,0.0,0.1,0.02,0.14
Rade Krunić\817c6964,ba BIH,FWMF,it Milan,250,0,0,0.00,0.00,0.1,0.0,0.05,0.00
Serhiy Kryvtsov\292a652a,ua UKR,DF,ua Shakhtar,193,0,1,0.00,0.47,0.0,0.2,0.00,0.09
Daniil Kuznetsov\18a88e3e,ru RUS,MF,ru Zenit,3,0,0,0.00,0.00,0.1,0.0,2.96,0.00
Maxence Lacroix\277c49ed,fr FRA,DF,de Wolfsburg,540,0,0,0.00,0.00,0.3,0.1,0.04,0.02
Konrad Laimer\c1b7847c,at AUT,MF,de RB Leipzig,401,0,1,0.00,0.22,0.4,1.0,0.10,0.22
Érik Lamela\abe66106,ar ARG,FWMF,es Sevilla,123,0,0,0.00,0.00,0.1,0.2,0.10,0.18
Noa Lang\8e034340,nl NED,MFFW,be Club Brugge,527,0,1,0.00,0.17,0.7,0.8,0.12,0.14
Aymeric Laporte\119b9a8e,es ESP,DF,eng Manchester City,318,0,0,0.00,0.00,0.0,0.0,0.01,0.00
Eric Larsson\8474cb83,se SWE,DF,se Malmö,275,0,0,0.00,0.00,0.0,0.3,0.00,0.08
Sandro Lauper\6a829019,ch SUI,DF,ch Young Boys,463,0,0,0.00,0.00,0.1,0.2,0.01,0.03
