Table 1
Player,Nation,Pos,Squad,Min,Gls▼,Ast,Gls,Ast,xG,xA,xG,xA
Thomas Müller\3c6089ab,de GER,MFFW,de Bayern Munich,536,2,2,0.34,0.34,0.8,1.9,0.13,0.32
Lukas Nmecha\0cc5f4a5,de GER,FWMF,de Wolfsburg,324,2,0,0.56,0.00,1.1,0.4,0.30,0.11
Jordan Pefok\b684a484,us USA,FW,ch Young Boys,339,2,0,0.53,0.00,1.9,0.1,0.50,0.03
Ivan Rakitić\89f951b5,hr CRO,MF,es Sevilla,276,2,1,0.65,0.33,1.9,0.3,0.61,0.09
Mats Rits\733e7ad8,be BEL,MF,be Club Brugge,413,2,0,0.44,0.00,1.4,0.0,0.30,0.01
Rodrygo\8f5e92a6,br BRA,FW,es Real Madrid,307,2,2,0.59,0.59,1.1,1.2,0.34,0.36
Pablo Sarabia\9744ff80,es ESP,FWMF,pt Sporting CP,449,2,1,0.40,0.20,1.4,1.3,0.29,0.26
Bernardo Silva\3eb22ec9,pt POR,MFFW,eng Manchester City,451,2,2,0.40,0.40,1.2,0.5,0.25,0.11
Renato Steffen\dd669209,ch SUI,FW,de Wolfsburg,258,2,0,0.70,0.00,0.5,0.1,0.19,0.02
Dominik Szoboszlai\934e1968,hu HUN,FWDF,de RB Leipzig,210,2,0,0.86,0.00,1.9,0.6,0.80,0.26
Dušan Tadić\2475dcc6,rs SRB,FW,nl Ajax,540,2,1,0.33,0.17,2.0,2.5,0.34,0.42
Sébastien Thill\fb46125f,lu LUX,MF,md Sheriff Tiraspol,540,2,1,0.33,0.17,0.3,0.9,0.06,0.15
Adama Traoré\f9edc384,ml MLI,FWMF,md Sheriff Tiraspol,529,2,1,0.34,0.17,0.6,0.1,0.10,0.01
Georginio Wijnaldum\eb58eef0,nl NED,MF,fr Paris S-G,262,2,0,0.69,0.00,1.6,0.4,0.54,0.13
Roman Yaremchuk\cb641b9d,ua UKR,FW,pt Benfica,438,2,0,0.41,0.00,2.4,0.4,0.49,0.09
Burak Yılmaz\165a2e40,tr TUR,FW,fr Lille,439,2,0,0.41,0.00,2.1,0.0,0.43,0.00
Chikwubuike Adamu\82e12fe7,at AUT,FW,at RB Salzburg,177,1,0,0.51,0.00,0.6,0.2,0.32,0.11
Nathan Aké\eaeca114,nl NED,DF,eng Manchester City,218,1,0,0.41,0.00,0.5,0.0,0.20,0.00
David Alaba\05439de2,at AUT,DF,es Real Madrid,604,1,0,0.15,0.00,0.1,0.3,0.02,0.05
Paco Alcácer\a7a9d95a,es ESP,FW,es Villarreal,57,1,0,1.58,0.00,0.6,0.0,0.95,0.00
Thiago Alcántara\77e84962,es ESP,MF,eng Liverpool,199,1,0,0.45,0.00,0.0,0.1,0.02,0.03
Marco Asensio\45af8a54,es ESP,FW,es Real Madrid,105,1,1,0.86,0.86,0.5,0.4,0.45,0.33
Ridle Baku\442b56fa,de GER,DFFW,de Wolfsburg,411,1,0,0.22,0.00,0.5,0.1,0.12,0.02
Jude Bellingham\57d88cf9,eng ENG,MFFW,de Dortmund,500,1,3,0.18,0.54,1.3,1.3,0.23,0.24
Daley Blind\691bef82,nl NED,DF,nl Ajax,481,1,1,0.19,0.19,0.2,0.4,0.04,0.08
Marcelo Brozović\33b8d077,hr CRO,MF,it Inter,557,1,0,0.16,0.00,0.4,0.5,0.07,0.09
Trevoh Chalobah\5515376c,eng ENG,DF,eng Chelsea,119,1,0,0.76,0.00,0.4,0.0,0.30,0.03
Andreas Christensen\1cb49278,dk DEN,DF,eng Chelsea,524,1,1,0.17,0.17,0.2,0.8,0.03,0.14
Samuel Chukwueze\b8a642fc,ng NGA,MF,es Villarreal,140,1,0,0.64,0.00,0.7,0.2,0.42,0.14
Ángel Correa\01eb744d,ar ARG,FWMF,es Atlético Madrid,352,1,0,0.26,0.00,0.7,0.4,0.17,0.10
Rodrigo De Paul\162efffd,ar ARG,MF,es Atlético Madrid,435,1,0,0.21,0.00,1.1,1.2,0.22,0.26
Merih Demiral\e3cceee6,tr TUR,DF,it Atalanta,370,1,0,0.24,0.00,0.2,0.0,0.05,0.00
Brahim Díaz\407feb71,es ESP,MF,it Milan,348,1,1,0.26,0.26,1.1,0.5,0.29,0.13
Anthony Elanga\2fba6108,se SWE,FWMF,eng Manchester Utd,106,1,0,0.85,0.00,0.7,0.0,0.58,0.00
Ansu Fati\0ba976e4,es ESP,FW,es Barcelona,154,1,0,0.58,0.00,0.6,0.1,0.36,0.07
João Félix\8aafd64f,pt POR,FWMF,es Atlético Madrid,318,1,1,0.28,0.28,0.6,0.6,0.17,0.17
Remo Freuler\98d2c2c4,ch SUI,MF,it Atalanta,524,1,1,0.17,0.17,0.2,0.4,0.03,0.07
Idrissa Gana Gueye\72c812f3,sn SEN,MF,fr Paris S-G,379,1,0,0.24,0.00,0.4,0.2,0.09,0.04
Rachid Ghezzal\dc3a9a0d,dz ALG,FWMF,tr Beşiktaş,343,1,0,0.26,0.00,1.3,1.2,0.34,0.30
Gilberto\1338e42b,br BRA,DF,pt Benfica,445,1,0,0.20,0.00,0.3,0.1,0.07,0.02
Angel Gomes\645a3363,eng ENG,MF,fr Lille,154,1,1,0.58,0.58,0.5,0.4,0.27,0.24
Robin Gosens\2d970560,de GER,DF,it Atalanta,100,1,0,0.90,0.00,0.7,0.0,0.65,0.00
Jack Grealish\b0b4fd3e,eng ENG,FW,eng Manchester City,394,1,1,0.23,0.23,0.7,1.3,0.16,0.31
Mason Greenwood\58eee997,eng ENG,FW,eng Manchester Utd,303,1,1,0.30,0.30,0.1,0.8,0.02,0.22
Denys Harmash\bfc5768b,ua UKR,FW,ua Dynamo Kyiv,324,1,0,0.28,0.00,0.6,0.2,0.18,0.05
Silvan Hefti\f8342731,ch SUI,DF,ch Young Boys,385,1,1,0.23,0.23,0.1,0.9,0.02,0.21
Jordan Henderson\935e6b8f,eng ENG,MF,eng Liverpool,395,1,1,0.23,0.23,0.4,0.3,0.09,0.07
Ander Herrera\436a9dd0,es ESP,MF,fr Paris S-G,326,1,0,0.28,0.00,0.3,0.5,0.10,0.14
Callum Hudson-Odoi\15f3ec41,eng ENG,FWDF,eng Chelsea,288,1,2,0.31,0.62,0.6,1.1,0.20,0.35
Jonathan Ikone\42eaa028,fr FRA,MF,fr Lille,297,1,2,0.30,0.61,1.1,0.9,0.34,0.28
Josip Iličić\68252d6d,si SVN,FWMF,it Atalanta,248,1,1,0.36,0.36,0.1,1.1,0.05,0.40
Reece James\1265a93a,eng ENG,DFMF,eng Chelsea,296,1,0,0.30,0.00,0.4,0.4,0.11,0.11
Joan Jordán\2a0c8ba4,es ESP,MF,es Sevilla,326,1,0,0.28,0.00,0.4,0.3,0.10,0.08
Diogo Jota\178ae8f8,pt POR,FW,eng Liverpool,320,1,0,0.28,0.00,2.2,0.2,0.61,0.05
Moise Kean\3d50bcdb,it ITA,FW,it Juventus,167,1,0,0.54,0.00,2.3,0.2,1.22,0.12
Naby Keïta\f25c8e3a,gn GUI,MF,eng Liverpool,174,1,0,0.52,0.00,0.1,0.3,0.05,0.13
Davy Klaassen\15fd5593,nl NED,MF,nl Ajax,226,1,1,0.40,0.40,0.7,0.2,0.26,0.09
Dejan Kulusevski\df3cda47,se SWE,FW,it Juventus,85,1,0,1.06,0.00,0.2,0.7,0.17,0.71
Daler Kuzyaev\d4e93bab,ru RUS,MF,ru Zenit,255,1,0,0.35,0.00,0.2,0.2,0.08,0.07
Cyle Larin\e7af9060,ca CAN,FWMF,tr Beşiktaş,350,1,0,0.26,0.00,1.4,0.0,0.36,0.01
Rafael Leão\20730eae,pt POR,FW,it Milan,291,1,1,0.31,0.31,0.1,0.3,0.02,0.10
José Luis Palomino\921f6058,ar ARG,DF,it Atalanta,450,1,1,0.20,0.20,0.2,0.3,0.04,0.06
Harry Maguire\d8931174,eng ENG,DF,eng Manchester Utd,450,1,0,0.20,0.00,0.5,0.0,0.10,0.00
Ruslan Malinovskyi\48d5bd33,ua UKR,FWMF,it Atalanta,301,1,0,0.30,0.00,0.5,1.0,0.15,0.29
Eric Maxim Choupo-Moting\0e6bc38c,cm CMR,FW,de Bayern Munich,26,1,0,3.46,0.00,0.4,0.0,1.32,0.00
Elia Meschak\5d51b074,cd COD,FW,ch Young Boys,486,1,0,0.19,0.00,1.9,0.6,0.35,0.11
Junior Messias\f49c4ae9,br BRA,FWMF,it Milan,116,1,0,0.78,0.00,0.3,0.1,0.21,0.10
Rafa Mir\bbf5c11b,es ESP,FW,es Sevilla,272,1,1,0.33,0.33,1.3,0.1,0.43,0.02
Francisco Montero\3e96f3e7,es ESP,DF,tr Beşiktaş,305,1,0,0.30,0.00,0.1,0.0,0.04,0.00
Morato\0f41e2ee,br BRA,DF,pt Benfica,180,1,0,0.50,0.00,0.1,0.0,0.04,0.00
Alberto Moreno\11b9265b,es ESP,MFDF,es Villarreal,311,1,0,0.29,0.00,0.6,0.7,0.17,0.20
Gerard Moreno\81f0781e,es ESP,FW,es Villarreal,259,1,3,0.35,1.04,1.4,1.6,0.49,0.57
Nordi Mukiele\ac73ec79,fr FRA,DF,de RB Leipzig,483,1,1,0.19,0.19,0.5,0.3,0.09,0.06
